utt_id,n_words,duration_sec,what_they_said,stock_whisper_heard,cohear_heard,stock_wer,cohear_wer,stock_correct,cohear_correct,improved
M04_Session1_0047,8,9.45,yet he still thinks as swiftly as ever,yeah hes still sleeping and sweetly ever,yet he still sits and sweetly ever,0.75,0.5,0,0,1
M04_Session1_0012,13,20.85,twice each day he plays skillfully and with zest upon our small organ,twenty days she played secretly and she went to death above our organs,twice day explains securely and she wishes to assess a possible organ,1.0,0.769,0,0,1
M04_Session2_0298,7,10.045,both injuries were to the same leg,but in doing your to the the then like,both interiors were too dead to make it,1.0,0.857,0,0,1
M04_Session2_0100,13,18.445,twice each day he plays skillfully and with zest upon our small organ,and with that ill see you tomorrow morning,toyer is played carefully and with his arms are smarred,0.923,0.846,0,0,1
M04_Session2_0214,1,2.61,of,oh,ow,1.0,1.0,0,0,0
M04_Session2_0079,1,3.38,feed,she did,she feeds,2.0,2.0,0,0,0
M04_Session2_0284,1,3.555,kitten,hidden,hidden,1.0,1.0,0,0,0
M04_Session2_0198,1,2.335,light,light,light,0.0,0.0,1,1,0
M04_Session2_0296,1,3.2,vat,dent,dent,1.0,1.0,0,0,0
M04_Session2_0180,1,2.375,write,right,right,1.0,1.0,0,0,0
M04_Session1_0039,1,1.8,up,up,up,0.0,0.0,1,1,0
M04_Session1_0097,1,3.75,swarm,one,warm,1.0,1.0,0,0,0
M04_Session2_0156,6,7.51,i was conscious all the time,i would continue all the time,i work consistently all the time,0.333,0.333,0,0,0
M04_Session2_0155,6,8.105,i was conscious all the time,i will continue all the time,i will continue all the time,0.333,0.333,0,0,0
M04_Session2_0039,2,6.875,i can,uh i like it,have i kicked him,1.5,1.5,0,0,0
M04_Session2_0053,1,2.425,dug,doug,duck,1.0,1.0,0,0,0
M04_Session2_0256,1,4.535,coupe,goob,coop,1.0,1.0,0,0,0
M04_Session2_0179,1,2.915,cheer,yeah,shear,1.0,1.0,0,0,0
M04_Session2_0263,1,2.47,write,wait,right,1.0,1.0,0,0,0
M04_Session2_0276,1,3.55,papa,do it,true yet,2.0,2.0,0,0,0
M04_Session2_0161,1,2.885,group,boop,roop,1.0,1.0,0,0,0
M04_Session1_0028,1,3.45,trait,dread dread,press trade,2.0,2.0,0,0,0
M04_Session2_0098,7,8.355,well he is nearly ninety three years old,why he is really 93 years old,whyhe is really 93 years old,0.5,0.625,0,0,0
M04_Session2_0219,8,11.775,both figures would go higher in later years,both things would go higher in later years,both fingers would go higher in a later year,0.125,0.375,0,0,0
M04_Session2_0160,8,11.43,are your grades higher or lower than nancys,are your grades higher or lower than 90,are you a grain higher or lower than netteed,0.125,0.5,0,0,0
M04_Session1_0089,1,2.1,rage,rage,range,0.0,1.0,1,0,0
